circuit,q,d,e2e_latency,method,N,final_cache_size,final_hitrate
QSIM-XXZ,3,4,0.04433799994876608,FS,10,1,0.9
QSIM-XXZ,3,4,0.06002269993769005,PR,10,1,0.9
QSIM-XXZ,3,4,0.285533300077077,Full,10,0,0.0
QSIM-XXZ,11,3,0.04732569993939251,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,11,3,0.08283179998397827,FS,10,1,0.9
QSIM-XXZ,11,3,0.11797179991845042,PR,10,1,0.9
QSIM-XXZ,11,3,0.3567128000431694,Full,10,0,0.0
QSIM-XXZ,11,4,0.05974180006887764,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,11,4,0.09897549997549504,FS,10,1,0.9
QSIM-XXZ,11,4,0.14026690006721765,PR,10,1,0.9
QSIM-XXZ,11,4,0.40438640012871474,Full,10,0,0.0
QSIM-XXZ,17,3,0.10470950015587732,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,17,3,0.17968489992199466,FS,10,1,0.9
QSIM-XXZ,17,3,0.44378809991758317,PR,10,1,0.9
QSIM-XXZ,17,3,0.8564287999761291,Full,10,0,0.0
QSIM-XXZ,17,4,0.12564209988340735,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,17,4,0.22054609993938357,FS,10,1,0.9
QSIM-XXZ,17,4,0.30310620000818744,PR,10,1,0.9
QSIM-XXZ,17,4,0.9400206999853253,Full,10,0,0.0
QSIM-XXZ,23,3,1.2529836999601685,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,23,3,1.4037936999229714,FS,10,1,0.9
QSIM-XXZ,23,3,1.5143138998537324,PR,10,1,0.9
QSIM-XXZ,23,3,2.12575939996168,Full,10,0,0.0
QSIM-XXZ,23,4,1.571139900072012,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,23,4,1.9043427997967228,FS,10,1,0.9
QSIM-XXZ,23,4,1.793228100053966,PR,10,1,0.9
QSIM-XXZ,23,4,2.5605232000234537,Full,10,0,0.0
