method,method_disp,method_order,kind,circuit_label,circuit_idx,start,dur,end,offset,bar
FullCompilation,FullComp,0,run,LinearEnt_q11_d6,9,2.01778199999535,0.05451309999989462,2.0722950999952445,2.01778199999535,0.05451309999989462
FullCompilation,FullComp,0,run,LinearEnt_q5_d4,23,2.0722950999952445,0.029083399997034576,2.101378499992279,2.0722950999952445,0.029083399997034576
FullCompilation,FullComp,0,run,GHZ-Chain_q13_d2,16,2.101378499992279,0.024965300002804724,2.126343799995084,2.101378499992279,0.024965300002804724
FullCompilation,FullComp,0,run,GHZ-Chain_q7_d2,24,2.126343799995084,0.024711899997782893,2.1510556999928667,2.126343799995084,0.024711899997782893
FullCompilation,FullComp,0,run,GHZ-Chain_q13_d8,25,2.1510556999928667,0.02993419999984326,2.18098989999271,2.1510556999928667,0.02993419999984326
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d6,4,2.18098989999271,0.03337029999966035,2.2143601999923703,2.18098989999271,0.03337029999966035
FullCompilation,FullComp,0,run,VQE-Full_q7_d4,26,2.2143601999923703,0.02962169999955222,2.2439818999919225,2.2143601999923703,0.02962169999955222
FullCompilation,FullComp,0,run,GHZ-Chain_q5_d2,17,2.2439818999919225,0.023573600003146566,2.267555499995069,2.2439818999919225,0.023573600003146566
FullCompilation,FullComp,0,run,VQE-Full_q5_d2,27,2.267555499995069,0.024964600001112558,2.2925200999961817,2.267555499995069,0.024964600001112558
FullCompilation,FullComp,0,run,VQE-Full_q11_d4,15,2.2925200999961817,0.02743900000132271,2.3199590999975044,2.2925200999961817,0.02743900000132271
FullCompilation,FullComp,0,run,VQE-Full_q11_d2,28,2.3199590999975044,0.02519919999758713,2.3451582999950915,2.3199590999975044,0.02519919999758713
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d4,29,2.3451582999950915,0.03027490000022226,2.3754331999953138,2.3451582999950915,0.03027490000022226
FullCompilation,FullComp,0,run,QAOA-3reg_q7_d2,10,2.3754331999953138,0.028698799997073365,2.404131999992387,2.3754331999953138,0.028698799997073365
FullCompilation,FullComp,0,run,GHZ-Chain_q5_d2,17,2.404131999992387,0.02438550000078976,2.428517499993177,2.404131999992387,0.02438550000078976
FullCompilation,FullComp,0,run,QSIM-XXZ_q7_d6,30,2.428517499993177,0.034994300000107614,2.4635117999932845,2.428517499993177,0.034994300000107614
FullCompilation,FullComp,0,run,RCA_q11_d8,31,2.4635117999932845,0.03312020000157645,2.496631999994861,2.4635117999932845,0.03312020000157645
FullCompilation,FullComp,0,run,QSIM-XXZ_q7_d8,32,2.496631999994861,0.03926839999985532,2.5359003999947163,2.496631999994861,0.03926839999985532
FullCompilation,FullComp,0,run,RCA_q15_d2,33,2.5359003999947163,0.03010569999969448,2.5660060999944108,2.5359003999947163,0.03010569999969448
FullCompilation,FullComp,0,run,QAOA-3reg_q13_d2,20,2.5660060999944108,0.06975620000230265,2.6357622999967134,2.5660060999944108,0.06975620000230265
FullCompilation,FullComp,0,run,RCA_q7_d2,34,2.6357622999967134,0.04182480000235955,2.677587099999073,2.6357622999967134,0.04182480000235955
